"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"b",-10,-0.0496477533433202,3.99477214704564,4.81053611582717,5.03440235725212,17.252464899412,TRUE,NA
"b",-9.99,-0.0496967707037709,3.99282008091869,4.80847543304182,5.03190521748159,17.2374697690184,TRUE,NA
"b",-9.98,-0.0497458843321059,3.99086693844784,4.80641352333326,5.02940682586958,17.222474653008,TRUE,NA
"b",-9.97,-0.0497950945104626,3.98891271769001,4.8043503846178,5.02690718053841,17.2074795514373,TRUE,NA
"b",-9.96,-0.0498444015220847,3.98695741669589,4.80228601480721,5.02440627960537,17.1924844643631,TRUE,NA
"b",-9.95,-0.0498938056513077,3.98500103350988,4.80022041180877,5.0219041211831,17.1774893918424,TRUE,NA
"b",-9.94,-0.0499433071835755,3.98304356617008,4.79815357352521,5.01940070337954,17.1624943339324,TRUE,NA
"b",-9.93,-0.0499929064054528,3.98108501270825,4.79608549785476,5.01689602429791,17.1474992906909,TRUE,NA
"b",-9.92,-0.0500426036046154,3.97912537114979,4.79401618269108,5.01439008203672,17.1325042621755,TRUE,NA
"b",-9.91,-0.0500923990698593,3.97716463951369,4.79194562592331,5.01188287468975,17.1175092484446,TRUE,NA
"b",-9.9,-0.0501422930911287,3.97520281581253,4.78987382543601,5.00937440034599,17.1025142495564,TRUE,NA
"b",-9.89,-0.0501922859594817,3.97323989805243,4.78780077910922,5.00686465708969,17.0875192655698,TRUE,NA
"b",-9.88,-0.0502423779671271,3.97127588423301,4.78572648481838,5.00435364300031,17.0725242965438,TRUE,NA
"b",-9.87,-0.0502925694074155,3.9693107723474,4.78365094043437,5.00184135615248,17.0575293425376,TRUE,NA
"b",-9.86,-0.0503428605748544,3.96734456038216,4.7815741438235,4.99932779461603,17.0425344036109,TRUE,NA
"b",-9.85,-0.050393251765103,3.96537724631726,4.77949609284748,4.99681295645594,17.0275394798235,TRUE,NA
"b",-9.84,-0.0504437432749891,3.96340882812609,4.77741678536344,4.99429683973235,17.0125445712356,TRUE,NA
"b",-9.83,-0.0504943354024964,3.96143930377538,4.77533621922391,4.99177944250051,16.9975496779077,TRUE,NA
"b",-9.82,-0.0505450284468021,3.95946867122517,4.7732543922768,4.98926076281078,16.9825547999007,TRUE,NA
"b",-9.81,-0.0505958227082516,3.95749692842882,4.77117130236542,4.98674079870863,16.9675599372755,TRUE,NA
