"b","xL","x_kappa","x_lambda","xU","converged","message"
-3.5,NA,NA,NA,NA,FALSE,"Jacobian is singular (1/condition=0.0e+00) (see allowSingular option)"
-3.49,NA,NA,NA,NA,FALSE,"Jacobian is singular (1/condition=0.0e+00) (see allowSingular option)"
-3.48,NA,NA,NA,NA,FALSE,"Jacobian is singular (1/condition=0.0e+00) (see allowSingular option)"
-3.47,NA,NA,NA,NA,FALSE,"Jacobian is singular (1/condition=0.0e+00) (see allowSingular option)"
-3.46,NA,NA,NA,NA,FALSE,"Jacobian is singular (1/condition=0.0e+00) (see allowSingular option)"
-3.45,NA,NA,NA,NA,FALSE,"Jacobian is singular (1/condition=0.0e+00) (see allowSingular option)"
-3.44,NA,NA,NA,NA,FALSE,"Jacobian is too ill-conditioned (1/condition=2.4e-14) (see allowSingular option)"
-3.43,NA,NA,NA,NA,FALSE,"Jacobian is singular (1/condition=0.0e+00) (see allowSingular option)"
-3.42,NA,NA,NA,NA,FALSE,"Jacobian is singular (1/condition=0.0e+00) (see allowSingular option)"
-3.41,-0.314948146857387,1.34719504074878,1.99865806422757,2.5951836158599,TRUE,"Function criterion near zero"
-3.4,-0.31600836496659,1.34163370851139,1.99310767623719,2.58953051333732,TRUE,"Function criterion near zero"
-3.39,-0.317080867616484,1.33605668913987,1.98754234043725,2.5838673987933,TRUE,"Function criterion near zero"
-3.38,-0.318165876382255,1.33046393857893,1.9819620079492,2.5781942519417,TRUE,"Function criterion near zero"
-3.37,-0.31926361586571,1.32485541328448,1.97636663040517,2.57251105313949,TRUE,"Function criterion near zero"
-3.36,-0.320374313672411,1.3192310702449,1.97075615997084,2.56681778340712,TRUE,"Function criterion near zero"
-3.35,-0.321498200385542,1.3135908670029,1.96513054936883,2.56111442444963,TRUE,"Function criterion near zero"
-3.34,-0.322635509536412,1.30793476167744,1.95948975190206,2.55540095867762,TRUE,"Function criterion near zero"
-3.33,-0.323786477571515,1.30226271298609,1.95383372147779,2.54967736922861,TRUE,"Function criterion near zero"
-3.32,-0.324951343816057,1.2965746802675,1.94816241263156,2.54394363998867,TRUE,"Function criterion near zero"
-3.31,-0.326130350433878,1.29087062350433,1.94247578055176,2.53819975561416,TRUE,"Function criterion near zero"
-3.3,-0.327323742383688,1.28515050334642,1.93677378110433,2.53244570155376,TRUE,"Function criterion near zero"
-3.29,-0.328531767371557,1.27941428113402,1.93105637085768,2.52668146407074,TRUE,"Function criterion near zero"
-3.28,-0.329754675799585,1.27366191892145,1.92532350710788,2.52090703026526,TRUE,"Function criterion near zero"
-3.27,-0.33099272071067,1.26789337950104,1.91957514790428,2.51512238809699,TRUE,"Function criterion near zero"
-3.26,-0.33224615772939,1.26210862642673,1.91381125207464,2.50932752640781,TRUE,"Function criterion near zero"
-3.25,-0.333515244998807,1.25630762403898,1.90803177925184,2.50352243494476,TRUE,"Function criterion near zero"
-3.24,-0.334800243113333,1.25049033748852,1.90223668989912,2.49770710438298,TRUE,"Function criterion near zero"
-3.23,-0.336101415047442,1.24465673276126,1.89642594533673,2.49188152634889,TRUE,"Function criterion near zero"
-3.22,-0.337419026080285,1.2388067767032,1.89059950776849,2.48604569344373,TRUE,"Function criterion near zero"
-3.21,-0.338753343716299,1.23294043704393,1.88475734030669,2.48019959926532,TRUE,"Function criterion near zero"
-3.2,-0.340104637601355,1.22705768242371,1.87889940700125,2.47434323843416,TRUE,"Function criterion near zero"
-3.19,-0.341473179435042,1.22115848241711,1.87302567286478,2.46847660661483,TRUE,"Function criterion near zero"
-3.18,-0.342859242878674,1.21524280755804,1.86713610389914,2.46259970054,TRUE,"Function criterion near zero"
-3.17,-0.344263103459048,1.20931062936555,1.86123066712311,2.45671251803407,TRUE,"Function criterion near zero"
-3.16,-0.345685038468159,1.20336192036849,1.8553093305985,2.4508150580365,TRUE,"Function criterion near zero"
-3.15,-0.347125326858723,1.1973966541307,1.84937206345706,2.44490732062533,TRUE,"Function criterion near zero"
-3.14,-0.348584249135525,1.19141480527693,1.84341883592809,2.43898930704084,TRUE,"Function criterion near zero"
-3.13,-0.350062087242923,1.18541634951642,1.83744961936338,2.43306101970851,TRUE,"Function criterion near zero"
-3.12,-0.351559124447885,1.17940126367071,1.83146438626715,2.42712246226279,TRUE,"Function criterion near zero"
-3.11,NA,NA,NA,NA,FALSE,"No better point found (algorithm has stalled)"
-3.1,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-3.09,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-3.08,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-3.07,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-3.06,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-3.05,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-3.04,NA,NA,NA,NA,FALSE,"No better point found (algorithm has stalled)"
-3.03,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-3.02,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-3.01,NA,NA,NA,NA,FALSE,"No better point found (algorithm has stalled)"
-3,NA,NA,NA,NA,FALSE,"Error in poly_coeffs(A3, st1$gamma, p) : 
  a_coeffs$a1≈0 (rare); extend code for deg-3 fallback if needed.
"
-2.99,NA,NA,NA,NA,FALSE,"No better point found (algorithm has stalled)"
-2.98,NA,NA,NA,NA,FALSE,"No better point found (algorithm has stalled)"
-2.97,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-2.96,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-2.95,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-2.94,NA,NA,NA,NA,FALSE,"No better point found (algorithm has stalled)"
-2.93,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-2.92,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-2.91,-0.387940568489992,1.04921495462449,1.70203957253627,2.3000608405808,TRUE,"Function criterion near zero"
-2.9,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-2.89,NA,NA,NA,NA,FALSE,"x-values within tolerance 'xtol'"
-2.88,-0.393994255860159,1.03001178161728,1.68296505632393,2.28154892024023,TRUE,"Function criterion near zero"
-2.87,-0.396064389711245,1.02357714919619,1.67657435889903,2.27535878142218,TRUE,"Function criterion near zero"
-2.86,-0.398161088304583,1.01712575083004,1.67016741550113,2.26915896259508,TRUE,"Function criterion near zero"
-2.85,-0.40028461481293,1.01065760187659,1.66374423876051,2.26294950794979,TRUE,"Function criterion near zero"
-2.84,-0.402435229332941,1.00417271937723,1.65730484306425,2.25673046341775,TRUE,"Function criterion near zero"
-2.83,-0.40461318871499,0.997671122070594,1.65084924457062,2.25050187668281,TRUE,"Function criterion near zero"
-2.82,-0.406818746394853,0.991152830403341,1.64437746122031,2.2442637971923,TRUE,"Function criterion near zero"
-2.81,-0.409052152226929,0.984617866541473,1.63788951274834,2.23801627616735,TRUE,"Function criterion near zero"
-2.8,-0.411313652319577,0.978066254380274,1.63138542069439,2.23175936661243,TRUE,"Function criterion near zero"
-2.79,-0.413603488872819,0.971498019553032,1.62486520841188,2.22549312332436,TRUE,"Function criterion near zero"
-2.78,-0.415921900018327,0.964913189440173,1.61832890107754,2.21921760290053,TRUE,"Function criterion near zero"
-2.77,-0.418269119662473,0.958311793176117,1.61177652569848,2.21293286374628,TRUE,"Function criterion near zero"
-2.76,-0.420645377332178,0.951693861656424,1.60520811111962,2.20663896608176,TRUE,"Function criterion near zero"
-2.75,-0.423050898024175,0.945059427543341,1.59862368802937,2.20033597194782,TRUE,"Function criterion near zero"
-2.74,-0.425485902057687,0.938408525270814,1.59202328896483,2.19402394521138,TRUE,"Function criterion near zero"
-2.73,-0.427950604930823,0.931741191048705,1.58540694831606,2.18770295156982,TRUE,"Function criterion near zero"
-2.72,-0.430445217180931,0.92505746286597,1.5787747023293,2.18137305855489,TRUE,"Function criterion near zero"
-2.71,-0.432969944249106,0.918357380492943,1.5721265891092,2.17503433553563,TRUE,"Function criterion near zero"
-2.7,-0.435524986349011,0.911640985482883,1.56546264862033,2.16868685372064,TRUE,"Function criterion near zero"
-2.69,-0.43811053834024,0.904908321172602,1.5587829226877,2.16233068615966,TRUE,"Function criterion near zero"
-2.68,-0.440726789606414,0.89815943268213,1.55208745499619,2.15596590774428,TRUE,"Function criterion near zero"
-2.67,-0.443373923938154,0.89139436691358,1.54537629108924,2.14959259520798,TRUE,"Function criterion near zero"
-2.66,-0.446052119421073,0.884613172549197,1.53864947836663,2.14321082712547,TRUE,"Function criterion near zero"
