"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"l",1,-0.156146019197131,1.61257306858634,2.30587716642954,2.35552987978111,4.52438157931111,TRUE,NA
"l",1.01,-0.156146201526145,1.61185251974364,2.30357116028855,2.35820358431938,4.52438163625104,TRUE,NA
"l",1.02,-0.156146383437691,1.61113832004883,2.30130914774293,2.36087615599635,4.52438169306067,TRUE,NA
"l",1.03,-0.156146564924494,1.61043040153311,2.29908957625775,2.3635475742114,4.52438174973772,TRUE,NA
"l",1.04,-0.15614674597955,1.60972869673741,2.29691097933751,2.36621781919803,4.52438180628,TRUE,NA
"l",1.05,-0.156146926596118,1.60903313874347,2.29477197000388,2.36888687197958,4.52438186268541,TRUE,NA
"l",1.06,-0.156147106767703,1.60834366120055,2.29267123489616,2.37155471432831,4.52438191895192,TRUE,NA
"l",1.07,-0.156147286488049,1.60766019834856,2.29060752892293,2.37422132872732,4.52438197507758,TRUE,NA
"l",1.08,-0.156147465751133,1.60698268503786,2.28857967040342,2.37688669833519,4.5243820310605,TRUE,NA
"l",1.09,-0.156147644551155,1.60631105674599,2.28658653664486,2.37955080695304,4.52438208689887,TRUE,NA
"l",1.1,-0.156147822882527,1.60564524959198,2.284627059909,2.38221363899377,4.52438214259095,TRUE,NA
"l",1.11,-0.156148000739869,1.60498520034775,2.28270022372569,2.38487517945368,4.52438219813506,TRUE,NA
"l",1.12,-0.156148178118003,1.60433084644826,2.28080505952048,2.38753541388513,4.52438225352957,TRUE,NA
"l",1.13,-0.156148355011941,1.60368212599888,2.2789406435204,2.39019432837179,4.52438230877294,TRUE,NA
"l",1.14,-0.156148531416884,1.60303897778153,2.27710609391318,2.39285190950499,4.52438236386365,TRUE,NA
"l",1.15,-0.156148707328212,1.6024013412591,2.27530056823385,2.39550814436156,4.52438241880027,TRUE,NA
"l",1.16,-0.156148882741483,1.60176915657862,2.27352326095708,2.39816302048311,4.52438247358141,TRUE,NA
"l",1.17,-0.156149057652421,1.60114236457308,2.27177340127572,2.4008165258564,4.52438252820574,TRUE,NA
"l",1.18,-0.156149232056917,1.60052090676223,2.27005025104836,2.40346864889493,4.52438258267197,TRUE,NA
"l",1.19,-0.15614940595102,1.5999047253523,2.26835310290028,2.40611937842154,4.52438263697886,TRUE,NA
"l",1.2,-0.156149579330934,1.59929376323494,2.26668127846417,2.40876870365201,4.52438269112523,TRUE,NA
"l",1.21,-0.156149752193012,1.59868796398531,2.2650341267481,2.41141661417953,4.52438274510994,TRUE,NA
"l",1.22,-0.156149924533754,1.59808727185942,2.26341102261978,2.41406309996,4.5243827989319,TRUE,NA
"l",1.23,-0.156150096349801,1.59749163179094,2.26181136539708,2.41670815129819,4.52438285259005,TRUE,NA
"l",1.24,-0.15615026763793,1.59690098938736,2.26023457753579,2.41935175883449,4.5243829060834,TRUE,NA
"l",1.25,-0.156150438395054,1.5963152909257,2.2586801034067,2.42199391353247,4.52438295941097,TRUE,NA
"l",1.26,-0.156150608618213,1.59573448334777,2.25714740815449,2.42463460666699,4.52438301257184,TRUE,NA
"l",1.27,-0.156150778304576,1.59515851425501,2.25563597663197,2.42727382981292,4.52438306556513,TRUE,NA
"l",1.28,-0.156150947451431,1.59458733190303,2.25414531240359,2.42991157483445,4.52438311838998,TRUE,NA
"l",1.29,-0.15615111605619,1.59402088519581,2.25267493681289,2.43254783387482,4.52438317104559,TRUE,NA
"l",1.3,-0.156151284116377,1.59345912367963,2.25122438810881,2.4351825993467,4.52438322353119,TRUE,NA
"l",1.31,-0.156151451629631,1.59290199753686,2.24979322062649,2.43781586392281,4.52438327584604,TRUE,NA
"l",1.32,-0.156151618593702,1.59234945757938,2.24838100401846,2.44044762052721,4.52438332798943,TRUE,NA
"l",1.33,-0.156151785006446,1.59180145524202,2.24698732253237,2.44307786232674,4.5243833799607,TRUE,NA
"l",1.34,-0.156151950865822,1.59125794257573,2.24561177433202,2.44570658272308,4.5243834317592,TRUE,NA
"l",1.35,-0.156152116169896,1.59071887224064,2.2442539708584,2.44833377534498,4.52438348338434,TRUE,NA
"l",1.36,-0.156152280916825,1.59018419749911,2.24291353622802,2.45095943404092,4.52438353483553,TRUE,NA
