"sweep_param","sweep_value","xL","xk","xl","xU","gamma","converged","error_msg"
"sigma",0.1,-0.84461319218299,-0.341046394598212,0.460097748650005,0.464051658736747,1.31337144440954,TRUE,NA
"sigma",0.11,-0.843681614178575,-0.344708948984566,0.458010413558775,0.46280719296337,1.32179866610297,TRUE,NA
"sigma",0.12,-0.842831110707802,-0.348210611112053,0.456032026431875,0.461752086829564,1.33036428117695,TRUE,NA
"sigma",0.13,-0.842061895150526,-0.351545647703694,0.454164279719282,0.460886760347837,1.3390682352645,TRUE,NA
"sigma",0.14,-0.841374137060247,-0.354708585840365,0.452408735926627,0.460211182614605,1.34791043851388,TRUE,NA
"sigma",0.15,-0.840767955340225,-0.35769424367316,0.450766807762681,0.459724864359832,1.35689075472698,TRUE,NA
"sigma",0.16,-0.840243411127077,-0.360497761894373,0.449239738251195,0.459426855535601,1.36600898994247,TRUE,NA
"sigma",0.17,-0.839800500476265,-0.363114635592639,0.447828581135725,0.45931574787746,1.37526488060019,TRUE,NA
"sigma",0.18,-0.839439146964146,-0.365540746066916,0.446534181930419,0.459389682263981,1.38465808145589,TRUE,NA
"sigma",0.19,-0.83915919434348,-0.367772392134515,0.44535715997981,0.459646360605412,1.3941881534512,TRUE,NA
"sigma",0.2,-0.838960399407819,-0.369806320455756,0.444297891905035,0.460083061916862,1.40385455177453,TRUE,NA
"sigma",0.21,-0.838842425233918,-0.371639754504784,0.443356496818349,0.460696662182802,1.41365661437232,TRUE,NA
"sigma",0.22,-0.838804834995379,-0.373270422303594,0.442532823681711,0.461483657580131,1.42359355121163,TRUE,NA
"sigma",0.23,-0.838847086552672,-0.374696584160193,0.441826441205228,0.462440190644353,1.43366443461791,TRUE,NA
"sigma",0.24,-0.838968528059873,-0.375917063399234,0.441236630717974,0.463562079017679,1.44386819107495,TRUE,NA
"sigma",0.25,-0.839168394881577,-0.376931284547571,0.440762382501715,0.464844846502401,1.45420359496812,TRUE,NA
"sigma",0.26,-0.839445808153285,-0.377739323129255,0.440402396166935,0.466283756287393,1.46466926482612,TRUE,NA
"sigma",0.27,-0.839799775350683,-0.378341968203505,0.440155085659593,0.467873846267049,1.47526366267906,TRUE,NA
"sigma",0.28,-0.840229193181383,-0.378740793510778,0.440018589398013,0.469609966371719,1.48598509707424,TRUE,NA
"sigma",0.29,-0.84073285299063,-0.378938227625606,0.439990785789254,0.471486817680228,1.49683173009776,TRUE,NA
"sigma",0.3,-0.841309448682778,-0.378937610166273,0.440069313970919,0.47349899283344,1.50780158844292,TRUE,NA
"sigma",0.31,-0.841957586920025,-0.37874322123382,0.440251599216846,0.475641017010179,1.51889257817219,TRUE,NA
"sigma",0.32,-0.842675799167886,-0.378360274799266,0.440534882008686,0.477907388493785,1.53010250250324,TRUE,NA
"sigma",0.33,-0.843462555002526,-0.377794872325019,0.44091624951636,0.480292617749441,1.54142908169139,TRUE,NA
"sigma",0.34,-0.844316276029243,-0.377053918795616,0.441392668122326,0.482791263977715,1.55286997396789,TRUE,NA
"sigma",0.35,-0.845235349786838,-0.376145008101424,0.441961015661829,0.485397968251456,1.56442279652928,TRUE,NA
"sigma",0.36,-0.8462181430934,-0.37507628756228,0.442618112221471,0.488107482577137,1.57608514570044,TRUE,NA
"sigma",0.37,-0.847263014404638,-0.373856312210522,0.443360748624468,0.490914694525024,1.58785461557803,TRUE,NA
"sigma",0.38,-0.848368324898001,-0.372493898681608,0.44418571197665,0.493814647317608,1.59972881469024,TRUE,NA
"sigma",0.39,-0.849532448138007,-0.370997986764447,0.445089807909332,0.496802555494381,1.61170538043935,TRUE,NA
"sigma",0.4,-0.850753778260575,-0.369377514356098,0.446069879429541,0.499873816487299,1.62378199122464,TRUE,NA
"sigma",0.41,-0.8520307367277,-0.367641309348835,0.447122822413774,0.503024018521939,1.63595637632875,TRUE,NA
"sigma",0.42,-0.853361777742836,-0.36579799998141,0.448245597944009,0.506248945351289,1.64822632371241,TRUE,NA
"sigma",0.43,-0.854745392497172,-0.363855943716338,0.449435241697656,0.509544578298273,1.66058968599514,TRUE,NA
"sigma",0.44,-0.856180112351301,-0.361823173499921,0.450688870811646,0.512907096182213,1.67304438478589,TRUE,NA
"sigma",0.45,-0.857664511135582,-0.359707359702682,0.452003688416667,0.516332873495209,1.68558841366144,TRUE,NA
